trimestre_dt,data_traffic,voice_traffic,revenue,total_lines,data_traffic_index,revenue_index,nsi,revenue_per_traffic,revenue_per_line,year,quarter
2013-10-01,37214.94,63484.49,7770.11,144343940.0,3414214.6788990814,91.09081168149852,0.0002578212843573,0.2087900719442245,5.383052450972309e-05,2013,4
2014-01-01,43970.92,62332.38,7290.39,147896586.0,4034029.3577981647,85.46694224080224,0.0002973085531534,0.1658002607177653,4.929383562646943e-05,2014,1
2014-04-01,51902.66,63783.09,7320.5,152390271.0,4761711.926605504,85.81992879308143,0.0003405903779776,0.141042867552453,4.803784357073557e-05,2014,2
2014-07-01,66018.66,61373.27,7150.04,157796553.0,6056757.798165138,83.82158645825885,0.0004183783406219,0.1083033190919052,4.53117629255184e-05,2014,3
2014-10-01,70789.69,64994.66,7383.49,162130785.0,6494466.972477064,86.55837525366145,0.000436620904537,0.1043017704979355,4.554033337962312e-05,2014,4
2015-01-01,82900.84,63832.73,7015.23,165397470.0,7605581.651376146,82.24117738775884,0.0005012219352569,0.0846219411045774,4.2414373085634256e-05,2015,1
2015-04-01,99491.32,63333.47,7281.39,168464134.0,9127644.036697246,85.36143314181479,0.0005905786450663,0.0731861834781164,4.322219707608505e-05,2015,2
2015-07-01,122451.56,60998.52,7202.23,171594513.0,11234088.073394494,84.43342200005392,0.0007136099975411,0.0588169721970059,4.197237938488161e-05,2015,3
2015-10-01,121183.76,63658.55,7418.71,175856734.0,11117776.146788992,86.97126752769907,0.0006891050302344,0.0612186814470849,4.21861013295061e-05,2015,4
2016-01-01,133532.5,60847.490000000005,7128.89,179048800.0,12250688.073394494,83.57364007563831,0.0007457882990558,0.0533869282758878,3.981534643069376e-05,2016,1
2016-04-01,154059.26,64068.09,7456.09,183408688.0,14133877.064220184,87.40948198549367,0.0008399779840309,0.0483975452043583,4.065287245280333e-05,2016,2
2016-07-01,204390.32,61054.9,7494.49,187928663.0,18751405.504587155,87.85965414117352,0.0010875952435206,0.0366675388540905,3.987944084931845e-05,2016,3
2016-10-01,196044.4,62653.5,7684.64,190932674.0,17985724.770642202,90.08882693811422,0.0010267724004116,0.0391984672859821,4.024790434768645e-05,2016,4
2017-01-01,223226.44,61736.24,7343.099999999999,193338791.0,20479489.90825688,86.08487386387216,0.0011545869240487,0.0328952968116142,3.798047956139334e-05,2017,1
2017-04-01,286761.89,63331.23,7576.68,196439435.0,26308430.27522936,88.82318667959349,0.0014597979779365,0.0264215025225283,3.857005595643258e-05,2017,2
2017-07-01,377190.66,62145.08,7561.06,200665548.0,34604647.706422016,88.64006977668414,0.0018796981532674,0.020045724355953,3.767991105279318e-05,2017,3
2017-10-01,349689.95,63996.96,7834.13,203901755.0,32081646.788990825,91.841333072296,0.0017149923501148,0.0224030744949919,3.842110137796509e-05,2017,4
2018-01-01,372436.58,63198.8,7413.69,208672810.0,34168493.57798165,86.9124168969305,0.001784787294521,0.0199059125717457,3.55278198438982e-05,2018,1
2018-04-01,438396.24,66289.4,7723.54,212093917.0,40219838.53211009,90.54486071040448,0.002066991105643,0.0176177149694532,3.641566014361459e-05,2018,2
2018-07-01,560285.39,63313.15,7486.03,215535888.0,51402329.35779817,87.7604755881253,0.0025994993000887,0.0133611015629017,3.473217416117728e-05,2018,3
2018-10-01,497614.58,66865.52,7719.24,218953844.0,45652713.76146789,90.49445080755493,0.0022726916819966,0.015512487596324,3.5255101527242424e-05,2018,4
2019-01-01,512132.79,66557.89,7516.68,221470669.0,46984659.63302752,88.11979268634373,0.0023124181288313,0.0146772090105771,3.393984419670489e-05,2019,1
2019-04-01,587212.11,68930.93,7723.24,225359368.0,53872670.64220183,90.54134374043824,0.0026056698472814,0.0131523854301982,3.427077413529133e-05,2019,2
2019-07-01,691250.8,67524.04,7535.78,229122232.0,63417504.58715597,88.34370644086157,0.0030169521044121,0.0109016582693285,3.288978085723257e-05,2019,3
2019-10-01,686086.28,70929.75,7927.74,232062546.0,62943695.41284403,92.93874493409784,0.0029564713988788,0.0115550189984851,3.4162083182522694e-05,2019,4
2020-01-01,10754750.39,80200.5,7578.56,236670629.0,986674347.706422,88.84522635804866,0.0454418464827758,0.00070467093379,3.20215483941609e-05,2020,1
